Sprint,TaskID,Task,Owner,Role,Dependency,Deliverable,Status
Sprint 3: Trim + Advisor Review,131,Sprint 3 Day 4: continue revisions,Minh,Writer,Task 128,None,Not started
Sprint 3: Trim + Advisor Review,132,Sprint 3 Day 5 (Fri): finalize all reviewer feedback incorporation; confirm ready for Sprint 4 (final polish),Duc,SA/PM/Writer/Researcher,Task 129,report/conf/rivf2026_paper.tex (feedback incorporated),Not started
Sprint 3: Trim + Advisor Review,133,Sprint 3 Day 5: finalize CL section revisions,Diep,Writer,Task 130,None,Not started
Sprint 3: Trim + Advisor Review,134,Sprint 3 Day 5: finalize figure/diagram revisions,Minh,Writer,Task 131,None,Not started
Checkpoint 3,135,CHECKPOINT 3 (User review): review Sprint 3 revisions + reviewer feedback incorporation; go/no-go for Sprint 4 (final polish + submit),Duc,SA/PM/Writer/Researcher,Tasks 117-134,Status report,Not started
Sprint 4: Final Proofread + Polish,136,Sprint 4 (Mon-Fri): coordinate final proofread; confirm no leftover [TODO:] placeholders except author metadata (Duc supplies directly); verify IEEE template compliance,Duc,SA/PM/Writer/Researcher,Task 135,None,Not started
Sprint 4: Final Proofread + Polish,137,"Sprint 4: help proofread technical sections (Branch 1/2/3, zero-day, CL)",Bach,Researcher,Task 118,None,Not started
Sprint 4: Final Proofread + Polish,138,Sprint 4: proofread; test-compile the exact submission package,Diep,Writer,Task 133,None,Not started
Sprint 4: Final Proofread + Polish,139,Sprint 4: proofread; final figure legibility check,Minh,Writer,Task 134,None,Not started
Sprint 4: Final Proofread + Polish,140,Sprint 4 Day 2: continue final proofread,Duc,SA/PM/Writer/Researcher,Task 136,None,Not started
Sprint 4: Final Proofread + Polish,141,Sprint 4 Day 2: continue proofread support,Bach,Researcher,Task 137,None,Not started
Sprint 4: Final Proofread + Polish,142,Sprint 4 Day 2: continue proofread+test-compile,Diep,Writer,Task 138,None,Not started
Sprint 4: Final Proofread + Polish,143,Sprint 4 Day 2: continue proofread,Minh,Writer,Task 139,None,Not started
Sprint 4: Final Proofread + Polish,144,Sprint 4 Day 3: continue final proofread,Duc,SA/PM/Writer/Researcher,Task 140,None,Not started
Sprint 4: Final Proofread + Polish,145,Sprint 4 Day 3: continue test-compile + final checks,Diep,Writer,Task 142,None,Not started
Sprint 4: Final Proofread + Polish,146,Sprint 4 Day 4: final sign-off before submission,Duc,SA/PM/Writer/Researcher,Task 144,None,Not started
Sprint 4: Final Proofread + Polish,147,Sprint 4 Day 4: final submission package ready,Diep,Writer,Task 145,None,Not started
Submission,148,MILESTONE: SUBMIT — final oversight + confirm submission,Duc,SA/PM/Writer/Researcher,Task 146,Confirmation,Not started
Submission,149,MILESTONE: SUBMIT RIVF — submit via EDAS (https://edas.info/N35414) before 23:59 30 Aug (hard deadline),Diep,Writer,Task 147,report/conf/rivf2026_paper.tex (submitted),Not started
Hard Deadline,150,HARD DEADLINE (backstop only - should already be submitted by 28/8): RIVF submission closes 23:59 30/8,Duc,SA/PM/Writer/Researcher,Task 149 (submitted),None,Not started
